Individual Block Times,Index
0.0128659,629
0.0114185,630
0.0159658,631
0.0073066,632
0.0064777,633
0.0218977,634
0.0453629,635
2.45e-05,636
0.0575394,637
0.0093999,638
0.050825,639
0.0672992,640
0.0636961,641
0.0402127,642
0.0044294,643
0.0111292,644
0.0134878,645
0.0138224,646
0.0224069,647
0.0105967,648
0.0027961,649
0.0095004,650
0.0447806,651
0.0190082,652
0.0155355,653
0.0156561,654
0.0651682,655
0.0283601,656
0.0187728,657
0.007125,658
0.076557,659
0.0077954,660
0.02257,661
0.0617856,662
0.0093212,663
0.0169657,664
0.0031662,665
0.0010197,666
0.0030675,667
0.0143416,668
0.0257243,669
0.0122672,670
0.0098711,671
0.0652682,672
0.0640232,673
0.004583,674
0.0088596,675
0.0096208,676
0.0061608,677
0.0555263,678
0.0130262,679
0.0601,680
0.0503292,681
0.0158248,682
0.019601,683
0.0645604,684
0.0026041,685
0.0248289,686
0.0412387,687
0.0190916,688
0.0490081,689
0.0555106,690
0.033381,691
0.0382899,692
0.0794086,693
0.0320529,694
0.0557727,695
0.0605135,696
0.0623996,697
0.0407704,698
0.0215672,699
0.0447593,700
0.0445904,701
0.0349878,702
0.0055274,703
0.0011509,704
0.0010555,705
0.0026678,706
0.0100579,707
0.0479174,708
0.0727355,709
0.0547865,710
0.0121722,711
0.042125,712
0.0398216,713
0.0225007,714
0.0244226,715
0.0190694,716
0.0033231,717
0.0019851,718
0.0351282,719
0.0020175,720
0.0336344,721
0.0038998,722
0.0138931,723
0.0741714,724
0.0077311,725
0.0721406,726
0.0305939,727
0.0498087,728
0.0477992,729
0.0358359,730
0.006672,731
0.0020216,732
3.18e-05,733
0.0002862,734
0.0564376,735
0.0227388,736
0.011194,737
0.0827805,738
0.0038966,739
0.0221428,740
0.0235258,741
0.0047337,742
0.0447758,743
0.0043258,744
0.0067075,745
0.0446441,746
0.0226585,747
0.0213252,748
0.0245496,749
0.0278384,750
0.0011546,751
0.0123755,752
0.114923,753
0.0077962,754
0.0678252,755
0.0842396,756
0.0057637,757
0.0464292,758
0.009088,759
0.0681929,760
0.0805363,761
0.0073961,762
0.0228068,763
0.0341324,764
0.0332476,765
0.0609059,766
0.0021831,767
0.0012737,768
0.0500476,769
0.0230875,770
0.0196616,771
0.0406007,772
0.0089261,773
0.0133273,774
0.0210455,775
0.0303184,776
0.0354651,777
0.051858,778
0.0132565,779
0.0210648,780
0.0024208,781
0.0006457,782
0.024042,783
0.0058629,784
0.0184872,785
0.0064023,786
0.0116329,787
0.0031776,788
0.0534012,789
0.0260775,790
0.0558134,791
0.0389455,792
0.0356793,793
0.0563194,794
0.0106911,795
0.0072605,796
0.047866,797
0.0026451,798
0.0008033,799
0.0696752,800
0.02593,801
0.0321172,802
0.0340961,803
0.037079,804
0.0178327,805
0.0406487,806
0.0234185,807
0.0200866,808
0.0070912,809
0.0059173,810
0.015321,811
0.001922,812
0.0083456,813
0.016192,814
0.0004315,815
0.0516779,816
0.0024152,817
0.0719297,818
0.0227668,819
0.0080088,820
0.0731991,821
0.0141825,822
0.0009306,823
0.0499572,824
0.0073962,825
0.0238964,826
0.0182209,827
0.040661,828
0.0244843,829
